"","Name","G","Date","Age","Tm","X5","Opp","X7","GS","MP","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","GmSc","+/-"
"1","James Harden","1",2016-10-26,"27-061","HOU","@","LAL","L (-6)","1","NA","9","19","0.474","1","7","0.143","15","16","0.938","3","4","7","17","1","0","7","5","34","31.1","10"
"2","James Harden","2",2016-10-28,"27-063","HOU","@","DAL","W (+8)","1","NA","9","18","0.5","4","9","0.444","4","5","0.8","1","6","7","8","1","0","4","4","26","20.1","7"
"3","James Harden","3",2016-10-30,"27-065","HOU",NA,"DAL","W (+1)","1","NA","8","23","0.348","3","9","0.333","9","12","0.75","1","6","7","8","1","0","8","4","28","13.4","1"
"4","James Harden","4",2016-11-01,"27-067","HOU","@","CLE","L (-8)","1","NA","13","20","0.65","5","9","0.556","10","14","0.714","1","6","7","15","1","0","1","3","41","42.4","10"
"5","James Harden","5",2016-11-02,"27-068","HOU","@","NYK","W (+19)","1","NA","9","16","0.563","5","12","0.417","7","8","0.875","1","5","6","15","2","0","3","1","30","33.3","21"
"6","James Harden","6",2016-11-05,"27-071","HOU","@","ATL","L (-15)","1","NA","10","19","0.526","4","8","0.5","6","7","0.857","1","8","9","11","3","0","8","4","30","24.5","-8"
"7","James Harden","7",2016-11-07,"27-073","HOU","@","WAS","W (+8)","1","NA","9","19","0.474","3","7","0.429","11","11","1","0","5","5","15","0","0","7","2","32","26.5","8"
"8","James Harden","8",2016-11-09,"27-075","HOU","@","SAS","W (+2)","1","NA","9","19","0.474","1","5","0.2","5","7","0.714","2","10","12","15","1","0","8","1","24","21","12"
"9","James Harden","9",2016-11-12,"27-078","HOU",NA,"SAS","L (-6)","1","NA","7","18","0.389","2","9","0.222","9","11","0.818","5","6","11","13","0","0","7","1","25","21.4","1"
"10","James Harden","10",2016-11-14,"27-080","HOU",NA,"PHI","W (+27)","1","NA","12","20","0.6","4","8","0.5","5","5","1","1","6","7","9","1","1","5","2","33","28.5","22"
"11","James Harden","11",2016-11-16,"27-082","HOU","@","OKC","L (-2)","1","NA","4","16","0.25","1","5","0.2","4","7","0.571","3","4","7","13","3","0","6","1","13","11.2","-5"
"12","James Harden","12",2016-11-17,"27-083","HOU",NA,"POR","W (+17)","1","NA","7","17","0.412","3","8","0.375","9","11","0.818","1","11","12","14","3","0","4","3","26","27.7","23"
"13","James Harden","13",2016-11-19,"27-085","HOU",NA,"UTA","W (+9)","1","NA","10","24","0.417","4","10","0.4","7","9","0.778","0","4","4","10","0","2","0","3","31","25.8","-2"
"14","James Harden","14",2016-11-21,"27-087","HOU","@","DET","W (+3)","1","NA","6","17","0.353","2","9","0.222","14","19","0.737","2","6","8","11","0","1","6","2","28","21.3","6"
"15","James Harden","15",2016-11-23,"27-089","HOU",NA,"TOR","L (-13)","1","NA","7","13","0.538","3","8","0.375","12","12","1","0","6","6","15","2","1","12","4","29","24.1","-12"
"16","James Harden","16",2016-11-25,"27-091","HOU","@","SAC","W (+13)","1","NA","6","18","0.333","3","11","0.273","8","8","1","1","8","9","10","0","0","5","2","23","17.1","10"
"17","James Harden","17",2016-11-27,"27-093","HOU","@","POR","W (+16)","1","NA","11","22","0.5","5","12","0.417","11","13","0.846","1","1","2","10","2","1","5","3","38","30.7","8"
"18","James Harden","18",2016-11-29,"27-095","HOU","@","UTA","L (-19)","1","NA","8","23","0.348","2","6","0.333","8","10","0.8","3","2","5","7","2","0","2","3","26","18.7","-19"
"19","James Harden","19",2016-12-01,"27-097","HOU","@","GSW","W (+5)","1","NA","8","23","0.348","2","11","0.182","11","14","0.786","1","14","15","13","2","1","7","4","29","23","-6"
"20","James Harden","20",2016-12-02,"27-098","HOU","@","DEN","W (+18)","1","NA","6","16","0.375","1","5","0.2","7","8","0.875","1","6","7","9","1","1","5","3","20","15.1","12"
"21","James Harden","21",2016-12-05,"27-101","HOU",NA,"BOS","W (+1)","1","NA","8","14","0.571","3","5","0.6","18","18","1","1","7","8","7","3","0","10","2","37","30.3","3"
"22","James Harden","22",2016-12-07,"27-103","HOU",NA,"LAL","W (+39)","1","NA","8","14","0.571","4","7","0.571","5","6","0.833","0","6","6","7","4","0","4","0","25","24.7","19"
"23","James Harden","23",2016-12-09,"27-105","HOU","@","OKC","W (+3)","1","NA","6","23","0.261","2","11","0.182","7","8","0.875","1","8","9","12","2","0","8","5","21","10.4","1"
"24","James Harden","24",2016-12-10,"27-106","HOU",NA,"DAL","W (+22)","1","NA","4","12","0.333","2","8","0.25","8","10","0.8","0","9","9","17","2","0","4","1","18","22.6","20"
"25","James Harden","25",2016-12-12,"27-108","HOU",NA,"BRK","W (+4)","1","NA","12","27","0.444","4","11","0.364","8","12","0.667","3","5","8","11","2","0","4","3","36","28.4","-2"
"26","James Harden","26",2016-12-14,"27-110","HOU",NA,"SAC","W (+34)","1","NA","4","7","0.571","3","6","0.5","4","4","1","0","11","11","14","1","0","5","0","15","20.8","29"
"27","James Harden","27",2016-12-16,"27-112","HOU",NA,"NOP","W (+22)","1","NA","7","15","0.467","6","12","0.5","9","11","0.818","2","9","11","13","0","0","4","2","29","28.9","14"
"28","James Harden","28",2016-12-17,"27-113","HOU","@","MIN","W (+2)","1","NA","8","20","0.4","3","11","0.273","9","11","0.818","0","9","9","13","1","2","7","5","28","21.6","4"
"29","James Harden","29",2016-12-20,"27-116","HOU",NA,"SAS","L (-2)","1","NA","10","26","0.385","1","11","0.091","10","10","1","2","8","10","7","1","0","3","1","31","23.1","1"
"30","James Harden","30",2016-12-21,"27-117","HOU","@","PHO","W (+14)","1","NA","8","18","0.444","5","11","0.455","6","8","0.75","1","4","5","14","1","0","2","1","27","27.1","4"
"31","James Harden","31",2016-12-23,"27-119","HOU","@","MEM","L (-6)","1","NA","6","13","0.462","2","6","0.333","2","3","0.667","1","6","7","17","1","0","9","5","16","13.3","11"
"32","James Harden","32",2016-12-26,"27-122","HOU",NA,"PHO","W (+16)","1","NA","9","18","0.5","2","9","0.222","12","15","0.8","1","4","5","12","0","0","7","4","32","23.5","24"
"33","James Harden","33",2016-12-27,"27-123","HOU","@","DAL","W (+16)","1","NA","9","16","0.563","4","7","0.571","12","12","1","2","3","5","11","0","1","7","2","34","29.3","13"
"34","James Harden","34",2016-12-30,"27-126","HOU",NA,"LAC","W (+24)","1","NA","10","15","0.667","2","5","0.4","8","9","0.889","1","12","13","10","5","2","6","1","30","34.4","-1"
"35","James Harden","35",2016-12-31,"27-127","HOU",NA,"NYK","W (+7)","1","NA","14","26","0.538","9","16","0.563","16","18","0.889","3","13","16","17","0","0","8","2","53","48.7","13"
"36","James Harden","36",2017-01-02,"27-129","HOU",NA,"WAS","W (+10)","1","NA","6","24","0.25","2","11","0.182","9","10","0.9","1","9","10","10","3","0","6","1","23","15.2","14"
"37","James Harden","37",2017-01-05,"27-132","HOU",NA,"OKC","W (+2)","1","NA","6","16","0.375","2","7","0.286","12","14","0.857","1","7","8","12","1","1","6","2","26","22.5","2"
"38","James Harden","38",2017-01-06,"27-133","HOU","@","ORL","W (+7)","1","NA","5","15","0.333","0","8","0","4","6","0.667","1","5","6","10","1","0","6","4","14","7.3","-6"
"39","James Harden","39",2017-01-08,"27-135","HOU","@","TOR","W (+7)","1","NA","13","26","0.5","4","9","0.444","10","10","1","3","7","10","11","2","2","10","3","40","31.1","-3"
"40","James Harden","40",2017-01-10,"27-137","HOU",NA,"CHO","W (+7)","1","NA","11","24","0.458","7","14","0.5","11","14","0.786","1","14","15","10","0","0","4","3","40","33.1","2"
"41","James Harden","41",2017-01-11,"27-138","HOU","@","MIN","L (-14)","1","NA","10","23","0.435","2","11","0.182","11","13","0.846","0","6","6","12","1","2","6","0","33","26.7","-10"
"42","James Harden","42",2017-01-13,"27-140","HOU",NA,"MEM","L (-5)","1","NA","6","14","0.429","2","7","0.286","13","14","0.929","0","3","3","9","1","0","7","3","27","19.2","-2"
"43","James Harden","43",2017-01-15,"27-142","HOU","@","BRK","W (+25)","1","NA","6","16","0.375","4","9","0.444","6","7","0.857","2","10","12","11","1","0","7","4","22","17.3","18"
"44","James Harden","44",2017-01-17,"27-144","HOU","@","MIA","L (-6)","1","NA","12","30","0.4","4","15","0.267","12","13","0.923","1","11","12","10","2","0","6","3","40","29.2","0"
"45","James Harden","45",2017-01-18,"27-145","HOU",NA,"MIL","W (+19)","1","NA","14","25","0.56","4","11","0.364","6","6","1","0","6","6","8","0","2","2","2","38","32.1","21"
"46","James Harden","46",2017-01-20,"27-147","HOU",NA,"GSW","L (-17)","1","NA","6","13","0.462","0","5","0","5","5","1","0","6","6","11","1","0","7","3","17","12.6","-20"
"47","James Harden","47",2017-01-21,"27-148","HOU","@","MEM","W (+24)","1","NA","7","9","0.778","4","6","0.667","11","12","0.917","1","5","6","10","3","2","6","3","29","31.5","21"
"48","James Harden","48",2017-01-23,"27-150","HOU","@","MIL","L (-13)","1","NA","6","10","0.6","2","4","0.5","12","14","0.857","0","8","8","12","3","1","11","3","26","22.9","5"
"49","James Harden","49",2017-01-25,"27-152","HOU","@","BOS","L (-11)","1","NA","6","18","0.333","2","11","0.182","16","19","0.842","0","6","6","12","1","1","7","3","30","22.3","-14"
"50","James Harden","50",2017-01-27,"27-154","HOU","@","PHI","W (+5)","1","NA","16","28","0.571","6","11","0.545","13","14","0.929","1","12","13","13","2","1","5","4","51","46.9","13"
"51","James Harden","51",2017-01-29,"27-156","HOU","@","IND","L (-19)","1","NA","3","17","0.176","2","10","0.2","7","7","1","1","4","5","8","3","0","8","5","15","4.8","-23"
"52","James Harden","52",2017-01-31,"27-158","HOU",NA,"SAC","W (+22)","1","NA","3","9","0.333","0","5","0","4","4","1","0","7","7","8","1","0","5","2","10","7.8","17"
"53","James Harden","53",2017-02-02,"27-160","HOU",NA,"ATL","L (-5)","1","NA","10","23","0.435","5","12","0.417","16","21","0.762","2","6","8","8","4","0","4","3","41","34.5","1"
"54","James Harden","54",2017-02-03,"27-161","HOU",NA,"CHI","W (+4)","1","NA","13","33","0.394","5","13","0.385","11","14","0.786","1","11","12","9","1","1","2","4","42","31.3","-11"
"55","James Harden","55",2017-02-07,"27-165","HOU",NA,"ORL","W (+24)","1","NA","6","21","0.286","3","10","0.3","10","14","0.714","1","5","6","13","3","0","4","1","25","21","18"
"56","James Harden","56",2017-02-09,"27-167","HOU","@","CHO","W (+12)","1","NA","8","21","0.381","4","9","0.444","10","12","0.833","1","10","11","8","1","1","9","4","30","18.1","13"
"57","James Harden","57",2017-02-11,"27-169","HOU",NA,"PHO","W (+31)","1","NA","9","17","0.529","8","15","0.533","14","16","0.875","1","5","6","8","0","0","8","2","40","29.9","26"
"58","James Harden","58",2017-02-15,"27-173","HOU",NA,"MIA","L (-8)","1","NA","10","21","0.476","4","10","0.4","14","16","0.875","3","9","12","12","0","1","4","5","38","34.4","-6"
"59","James Harden","59",2017-02-23,"27-181","HOU","@","NOP","W (+30)","1","NA","3","9","0.333","1","6","0.167","6","6","1","0","4","4","14","3","0","4","1","13","17.5","27"
"60","James Harden","60",2017-02-25,"27-183","HOU",NA,"MIN","W (+12)","1","NA","6","15","0.4","5","11","0.455","7","10","0.7","0","5","5","10","2","1","7","1","24","18.5","4"
"61","James Harden","61",2017-02-27,"27-185","HOU",NA,"IND","L (-9)","1","NA","5","17","0.294","1","9","0.111","14","17","0.824","1","6","7","12","2","0","2","2","25","24","-9"
