Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2016-10-26,,CHO,L,96,107,39,92,.424,3,16,.188,15,20,.750,10,46,23,4,5,8,22
2,2,2016-10-29,,BRK,W,110,108,41,88,.466,8,22,.364,20,24,.833,8,44,25,14,5,14,23
3,3,2016-10-30,@,DET,L,83,98,34,87,.391,4,17,.235,11,14,.786,10,40,22,10,4,12,16
4,4,2016-11-01,@,NOP,W,117,113,44,91,.484,10,32,.313,19,21,.905,11,49,30,9,5,15,25
5,5,2016-11-03,,IND,W,125,107,47,82,.573,12,27,.444,19,24,.792,12,41,32,10,6,21,23
6,6,2016-11-05,,SAC,W,117,91,41,82,.500,14,33,.424,21,25,.840,17,53,28,12,10,15,22
7,7,2016-11-06,@,DAL,L,75,86,30,82,.366,6,29,.207,9,12,.750,9,51,14,11,2,27,26
8,8,2016-11-10,,NOP,L,106,112,40,91,.440,6,18,.333,20,25,.800,11,48,23,4,5,11,20
9,9,2016-11-12,,MEM,W,106,96,36,68,.529,7,18,.389,27,36,.750,5,35,20,9,5,12,20
10,10,2016-11-16,@,ATL,L,100,107,39,98,.398,8,32,.250,14,18,.778,15,47,25,9,2,14,25
11,11,2016-11-17,@,MIA,L,73,96,28,85,.329,7,23,.304,10,13,.769,12,48,20,4,8,13,20
12,12,2016-11-19,,GSW,L,121,124,46,89,.517,10,20,.500,19,25,.760,10,41,27,7,1,13,23
13,13,2016-11-21,,ORL,W,93,89,35,86,.407,8,29,.276,15,21,.714,7,37,25,16,9,13,22
14,14,2016-11-25,,TOR,L,99,105,40,79,.506,12,29,.414,7,12,.583,7,38,26,4,2,11,19
15,15,2016-11-27,@,ORL,W,104,96,41,86,.477,8,24,.333,14,20,.700,10,53,24,6,6,11,16
16,16,2016-11-29,,CLE,W,118,101,46,86,.535,7,19,.368,19,23,.826,10,43,27,15,6,17,22
17,17,2016-12-01,@,BRK,W,111,93,36,80,.450,15,34,.441,24,29,.828,14,48,23,8,10,18,18
18,18,2016-12-03,,BRK,W,112,103,40,85,.471,6,24,.250,26,36,.722,7,46,25,9,10,11,24
