Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2016-10-26,,BRK,W,122,117,48,89,.539,11,32,.344,15,18,.833,12,47,36,13,9,19,20
2,2,2016-10-27,@,CHI,L,99,105,38,76,.500,8,23,.348,15,24,.625,3,36,22,6,6,11,25
3,3,2016-10-29,@,CHO,W,104,98,39,81,.481,15,31,.484,11,17,.647,4,42,25,4,6,13,26
4,4,2016-11-02,,CHI,W,107,100,41,87,.471,14,32,.438,11,17,.647,10,39,28,10,4,12,24
5,5,2016-11-03,@,CLE,L,122,128,46,96,.479,11,32,.344,19,22,.864,10,39,25,4,6,8,28
6,6,2016-11-06,,DEN,L,107,123,41,90,.456,8,25,.320,17,21,.810,11,39,31,3,4,11,24
7,7,2016-11-09,@,WAS,L,93,118,35,81,.432,10,31,.323,13,22,.591,7,31,21,5,4,11,19
8,8,2016-11-11,,NYK,W,115,87,35,90,.389,11,27,.407,34,43,.791,19,53,23,16,3,15,18
9,9,2016-11-12,@,IND,W,105,99,35,80,.438,8,25,.320,27,33,.818,15,47,22,7,7,13,21
10,10,2016-11-14,@,NOP,L,105,106,38,95,.400,12,41,.293,17,20,.850,11,44,19,9,0,10,27
11,11,2016-11-16,,DAL,W,90,83,33,76,.434,7,21,.333,17,23,.739,13,53,18,6,3,19,17
12,12,2016-11-18,,GSW,L,88,104,31,83,.373,11,32,.344,15,19,.789,7,43,19,6,3,13,12
13,13,2016-11-19,@,DET,W,94,92,33,82,.402,12,31,.387,16,17,.941,9,46,22,3,7,8,13
14,14,2016-11-21,@,MIN,W,99,93,38,84,.452,12,38,.316,11,14,.786,6,39,20,5,4,11,21
15,15,2016-11-23,@,BRK,W,111,92,45,98,.459,15,38,.395,6,8,.750,12,51,26,13,6,13,22
16,16,2016-11-25,,SAS,L,103,109,42,91,.462,12,34,.353,7,9,.778,8,36,32,8,4,10,21
17,17,2016-11-28,@,MIA,W,112,104,40,83,.482,11,27,.407,21,26,.808,6,40,26,4,3,9,27
18,18,2016-11-30,,DET,L,114,121,40,91,.440,15,42,.357,19,20,.950,9,33,26,6,3,5,17
19,19,2016-12-02,,SAC,W,97,92,36,88,.409,11,28,.393,14,15,.933,11,45,25,10,9,13,22
20,20,2016-12-03,@,PHI,W,107,106,38,76,.500,8,26,.308,23,29,.793,6,37,22,5,3,10,21
21,21,2016-12-05,@,HOU,L,106,107,42,99,.424,11,32,.344,11,12,.917,10,42,27,7,4,11,20
22,22,2016-12-07,@,ORL,W,117,87,43,84,.512,7,26,.269,24,29,.828,11,49,29,7,4,10,19
23,23,2016-12-09,,TOR,L,94,101,31,83,.373,17,42,.405,15,22,.682,8,46,24,5,4,13,18
24,24,2016-12-11,@,OKC,L,96,99,40,90,.444,11,32,.344,5,8,.625,12,40,28,9,4,13,22
25,25,2016-12-14,@,SAS,L,101,108,37,84,.440,10,31,.323,17,20,.850,8,35,25,12,3,12,13
26,26,2016-12-16,,CHO,W,96,88,34,78,.436,9,28,.321,19,26,.731,5,46,26,7,8,13,15
27,27,2016-12-18,@,MIA,W,105,95,41,90,.456,9,28,.321,14,19,.737,11,37,21,13,2,11,16
28,28,2016-12-20,@,MEM,W,112,109,33,81,.407,12,37,.324,34,38,.895,8,41,22,7,5,11,22
29,29,2016-12-22,@,IND,W,109,102,38,92,.413,10,39,.256,23,27,.852,9,44,19,10,2,10,27
30,30,2016-12-23,,OKC,L,112,117,41,93,.441,9,28,.321,21,26,.808,10,39,29,8,2,12,29
31,31,2016-12-25,@,NYK,W,119,114,45,93,.484,14,36,.389,15,20,.750,12,39,25,10,2,5,20
32,32,2016-12-27,,MEM,W,113,103,41,85,.482,12,31,.387,19,21,.905,14,47,30,6,7,17,24
33,33,2016-12-29,@,CLE,L,118,124,43,85,.506,12,37,.324,20,21,.952,6,29,26,15,4,11,23
34,34,2016-12-30,,MIA,W,117,114,38,74,.514,17,32,.531,24,29,.828,5,30,28,6,2,13,11
35,35,2017-01-03,,UTA,W,115,104,41,74,.554,17,31,.548,16,17,.941,4,32,31,5,6,13,22
36,36,2017-01-06,,PHI,W,110,106,35,87,.402,19,40,.475,21,25,.840,12,42,28,6,11,17,22
37,37,2017-01-07,,NOP,W,117,108,40,93,.430,18,36,.500,19,21,.905,15,47,26,6,5,10,22
38,38,2017-01-10,@,TOR,L,106,114,40,85,.471,9,27,.333,17,20,.850,6,33,21,7,3,14,20
39,39,2017-01-11,,WAS,W,117,108,43,85,.506,17,41,.415,14,18,.778,10,45,20,5,7,14,10
40,40,2017-01-13,@,ATL,W,103,101,36,83,.434,17,44,.386,14,19,.737,9,43,22,7,3,12,16
41,41,2017-01-16,,CHO,W,108,98,42,84,.500,15,39,.385,9,10,.900,8,44,29,6,3,12,11
42,42,2017-01-18,,NYK,L,106,117,35,91,.385,9,33,.273,27,29,.931,9,33,25,8,8,3,15
43,43,2017-01-21,,POR,L,123,127,42,92,.457,13,35,.371,26,31,.839,14,47,26,6,2,21,29
44,44,2017-01-24,@,WAS,L,108,123,38,84,.452,10,33,.303,22,24,.917,8,32,24,10,3,13,20
45,45,2017-01-25,,HOU,W,120,109,47,91,.516,11,32,.344,15,16,.938,12,48,33,10,3,18,27
