Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2016-10-26,@,LAL,L,114,120,44,86,.512,7,29,.241,19,27,.704,10,39,29,10,1,14,23
2,2,2016-10-28,@,DAL,W,106,98,33,70,.471,15,32,.469,25,31,.806,5,41,21,6,1,18,22
3,3,2016-10-30,,DAL,W,93,92,34,81,.420,11,31,.355,14,21,.667,9,47,16,5,4,17,21
4,4,2016-11-01,@,CLE,L,120,128,43,90,.478,17,44,.386,17,25,.680,11,32,30,5,2,7,25
5,5,2016-11-02,@,NYK,W,118,99,42,89,.472,15,40,.375,19,27,.704,19,54,25,12,8,19,21
6,6,2016-11-05,@,ATL,L,97,112,37,85,.435,12,36,.333,11,13,.846,12,43,22,9,7,26,26
7,7,2016-11-07,@,WAS,W,114,106,41,79,.519,17,37,.459,15,18,.833,6,37,28,6,7,18,18
8,8,2016-11-09,@,SAS,W,101,99,37,78,.474,10,30,.333,17,22,.773,8,45,25,7,4,19,24
9,9,2016-11-12,,SAS,L,100,106,34,89,.382,15,47,.319,17,21,.810,16,46,22,6,4,14,19
10,10,2016-11-14,,PHI,W,115,88,44,91,.484,17,40,.425,10,17,.588,16,55,20,6,10,17,19
11,11,2016-11-16,@,OKC,L,103,105,40,92,.435,14,40,.350,9,14,.643,12,47,25,10,4,16,10
12,12,2016-11-17,,POR,W,126,109,46,95,.484,14,32,.438,20,25,.800,17,54,26,6,6,13,17
13,13,2016-11-19,,UTA,W,111,102,42,94,.447,12,32,.375,15,20,.750,10,39,28,8,3,4,16
14,14,2016-11-21,@,DET,W,99,96,35,78,.449,10,31,.323,19,27,.704,12,46,22,4,6,15,20
15,15,2016-11-23,,TOR,L,102,115,38,78,.487,14,42,.333,12,12,1.000,11,39,29,6,7,26,22
16,16,2016-11-25,@,SAC,W,117,104,40,85,.471,21,50,.420,16,20,.800,8,42,27,8,2,14,19
17,17,2016-11-27,@,POR,W,130,114,46,82,.561,17,36,.472,21,28,.750,7,36,26,7,8,11,23
18,18,2016-11-29,@,UTA,L,101,120,37,91,.407,11,30,.367,16,22,.727,15,38,14,5,6,7,20
19,19,2016-12-01,@,GSW,W,132,127,48,108,.444,14,44,.318,22,30,.733,15,56,26,11,4,19,28
