Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2016-10-26,@,PHI,W,103,97,39,94,.415,6,22,.273,19,26,.731,13,53,19,7,3,10,23
2,2,2016-10-28,,PHO,W,113,110,40,96,.417,5,21,.238,28,38,.737,14,57,13,11,3,22,24
3,3,2016-10-30,,LAL,W,113,96,45,95,.474,9,26,.346,14,17,.824,10,45,29,15,6,19,22
4,4,2016-11-02,@,LAC,W,85,83,34,84,.405,5,20,.250,12,20,.600,10,52,14,8,4,21,24
5,5,2016-11-03,@,GSW,L,96,122,35,87,.402,10,27,.370,16,28,.571,13,41,20,8,6,16,20
6,6,2016-11-05,,MIN,W,112,92,45,86,.523,7,16,.438,15,24,.625,11,41,24,9,9,12,21
7,7,2016-11-07,,MIA,W,97,85,37,85,.435,9,28,.321,14,17,.824,10,47,24,8,5,16,18
8,8,2016-11-09,,TOR,L,102,112,31,74,.419,12,34,.353,28,31,.903,11,39,18,6,5,19,21
9,9,2016-11-11,,LAC,L,108,110,38,88,.432,16,28,.571,16,19,.842,9,45,21,3,1,16,27
10,10,2016-11-13,,ORL,L,117,119,47,92,.511,7,25,.280,16,26,.615,12,42,22,4,6,10,19
11,11,2016-11-14,@,DET,L,88,104,33,88,.375,5,27,.185,17,22,.773,13,51,16,3,6,15,21
12,12,2016-11-16,,HOU,W,105,103,40,84,.476,12,25,.480,13,14,.929,5,44,25,7,7,16,15
13,13,2016-11-18,,BRK,W,124,105,49,89,.551,7,26,.269,19,24,.792,10,46,23,9,5,16,24
14,14,2016-11-20,,IND,L,111,115,44,101,.436,10,36,.278,13,18,.722,15,49,28,10,7,20,23
15,15,2016-11-22,@,LAL,L,109,111,45,92,.489,11,27,.407,8,11,.727,11,40,29,11,6,15,14
16,16,2016-11-23,@,SAC,L,101,116,32,76,.421,7,25,.280,30,38,.789,5,38,18,7,7,9,21
17,17,2016-11-25,@,DEN,W,132,129,48,96,.500,13,26,.500,23,29,.793,7,40,29,11,4,12,21
18,18,2016-11-26,,DET,W,106,88,42,83,.506,8,23,.348,14,26,.538,10,43,23,4,3,10,16
19,19,2016-11-28,@,NYK,W,112,103,46,92,.500,8,22,.364,12,18,.667,17,53,25,4,7,14,22
20,20,2016-11-30,,WAS,W,126,115,46,95,.484,12,30,.400,22,31,.710,9,47,28,10,4,13,22
21,21,2016-12-04,,NOP,W,101,92,41,89,.461,6,28,.214,13,26,.500,11,59,24,7,5,15,15
22,22,2016-12-05,@,ATL,W,102,99,37,80,.463,10,31,.323,18,28,.643,8,43,26,9,5,19,27
23,23,2016-12-09,,HOU,L,99,102,34,81,.420,7,28,.250,24,31,.774,9,46,18,9,5,17,19
24,24,2016-12-11,,BOS,W,99,96,41,83,.494,3,21,.143,14,27,.519,15,49,17,9,7,12,9
25,25,2016-12-13,@,POR,L,95,114,33,87,.379,8,27,.296,21,28,.750,16,43,18,10,2,21,21
26,26,2016-12-14,@,UTA,L,89,109,30,82,.366,6,19,.316,23,27,.852,13,38,14,4,3,9,18
27,27,2016-12-17,,PHO,W,114,101,41,81,.506,7,16,.438,25,34,.735,10,42,28,12,4,13,21
28,28,2016-12-19,,ATL,L,108,110,39,87,.448,10,35,.286,20,26,.769,15,44,13,8,3,12,18
29,29,2016-12-21,@,NOP,W,121,110,45,88,.511,11,28,.393,20,24,.833,13,49,22,8,6,10,20
30,30,2016-12-23,@,BOS,W,117,112,41,80,.513,11,26,.423,24,36,.667,10,44,27,5,6,13,21
31,31,2016-12-25,,MIN,W,112,100,42,82,.512,8,24,.333,20,24,.833,9,42,26,8,4,15,24
32,32,2016-12-27,@,MIA,W,106,94,42,82,.512,5,19,.263,17,25,.680,14,46,21,3,4,17,21
33,33,2016-12-29,@,MEM,L,80,114,25,74,.338,4,22,.182,26,38,.684,14,39,9,5,7,18,18
34,34,2016-12-31,,LAC,W,114,88,37,78,.474,10,29,.345,30,35,.857,8,44,25,9,6,9,20
35,35,2017-01-02,@,MIL,L,94,98,36,78,.462,9,27,.333,13,19,.684,8,40,20,7,5,10,20
36,36,2017-01-04,@,CHO,L,112,123,42,96,.438,9,30,.300,19,23,.826,14,51,22,6,3,14,31
37,37,2017-01-05,@,HOU,L,116,118,41,91,.451,12,30,.400,22,27,.815,16,54,15,6,9,9,21
38,38,2017-01-07,,DEN,W,121,106,43,89,.483,12,36,.333,23,29,.793,6,49,23,8,11,10,20
39,39,2017-01-09,@,CHI,W,109,94,47,83,.566,7,24,.292,8,11,.727,6,42,30,5,5,12,17
40,40,2017-01-11,,MEM,W,103,95,36,81,.444,8,26,.308,23,29,.793,11,53,21,5,4,16,18
41,41,2017-01-13,@,MIN,L,86,96,33,85,.388,3,20,.150,17,21,.810,16,47,19,10,2,18,21
42,42,2017-01-15,@,SAC,W,122,118,40,90,.444,9,28,.321,33,41,.805,17,44,20,14,4,19,28
43,43,2017-01-16,@,LAC,L,98,120,36,85,.424,10,30,.333,16,19,.842,9,36,18,10,4,15,15
44,44,2017-01-18,@,GSW,L,100,121,38,90,.422,8,28,.286,16,19,.842,13,36,23,11,6,18,22
45,45,2017-01-23,@,UTA,W,97,95,36,83,.434,6,20,.300,19,25,.760,8,45,17,6,6,10,23
46,46,2017-01-25,@,NOP,W,114,105,42,91,.462,10,27,.370,20,28,.714,12,55,24,6,11,16,18
47,47,2017-01-26,,DAL,W,109,98,37,72,.514,9,22,.409,26,36,.722,7,43,13,7,2,16,17
48,48,2017-01-29,@,CLE,L,91,107,37,100,.370,6,26,.231,11,16,.688,13,55,20,5,4,16,19
49,49,2017-01-31,@,SAS,L,94,108,30,85,.353,7,28,.250,27,32,.844,12,50,21,12,7,20,30
50,50,2017-02-01,,CHI,L,100,128,38,100,.380,10,37,.270,14,17,.824,11,37,17,6,4,9,23
51,51,2017-02-03,,MEM,W,114,102,38,80,.475,13,26,.500,25,33,.758,16,47,21,7,3,20,21
52,52,2017-02-05,,POR,W,105,99,40,98,.408,4,18,.222,21,28,.750,17,56,18,9,5,12,17
53,53,2017-02-06,@,IND,L,90,93,34,88,.386,7,28,.250,15,21,.714,20,61,17,6,11,16,21
54,54,2017-02-09,,CLE,W,118,109,50,106,.472,8,27,.296,10,13,.769,17,51,24,10,5,13,23
55,55,2017-02-11,,GSW,L,114,130,40,83,.482,6,24,.250,28,36,.778,12,43,20,7,8,19,23
56,56,2017-02-13,@,WAS,L,98,120,34,96,.354,7,34,.206,23,30,.767,20,47,16,10,2,15,22
57,57,2017-02-15,,NYK,W,116,105,41,88,.466,12,23,.522,22,31,.710,12,48,21,10,4,12,13
58,58,2017-02-24,,LAL,W,110,93,44,97,.454,10,24,.417,12,17,.706,14,59,28,9,6,17,14
59,59,2017-02-26,,NOP,W,118,110,42,88,.477,6,21,.286,28,37,.757,16,53,17,4,0,13,29
60,60,2017-02-28,,UTA,W,109,106,39,76,.513,15,22,.682,16,23,.696,6,42,20,5,7,14,17
61,61,2017-03-02,@,POR,L,109,114,34,86,.395,11,29,.379,30,32,.938,12,40,11,9,7,12,25
62,62,2017-03-03,@,PHO,L,111,118,37,87,.425,9,35,.257,28,35,.800,11,47,14,10,5,19,30
63,63,2017-03-05,@,DAL,L,89,104,33,82,.402,2,22,.091,21,30,.700,13,49,19,4,2,15,21
64,64,2017-03-07,,POR,L,121,126,44,85,.518,10,25,.400,23,30,.767,12,39,16,4,1,17,25
65,65,2017-03-09,,SAS,W,102,92,41,89,.461,6,20,.300,14,21,.667,15,48,23,10,3,11,22
66,66,2017-03-11,,UTA,W,112,104,43,86,.500,8,23,.348,18,24,.750,12,43,23,7,7,12,20
67,67,2017-03-14,@,BRK,W,122,104,44,89,.494,10,22,.455,24,34,.706,13,44,30,13,6,13,27
68,68,2017-03-16,@,TOR,W,123,102,47,88,.534,14,25,.560,15,19,.789,10,47,33,10,1,18,22
69,69,2017-03-18,,SAC,W,110,94,41,82,.500,10,26,.385,18,25,.720,13,49,23,7,4,14,21
70,70,2017-03-20,,GSW,L,95,111,37,87,.425,4,21,.190,17,31,.548,12,40,18,10,2,11,19
71,71,2017-03-22,,PHI,W,122,97,48,88,.545,4,16,.250,22,30,.733,18,54,26,7,8,16,17
72,72,2017-03-26,@,HOU,L,125,137,47,94,.500,11,30,.367,20,28,.714,15,41,27,15,3,16,21
73,73,2017-03-27,@,DAL,W,92,91,37,85,.435,6,23,.261,12,14,.857,11,48,17,10,7,17,21
74,74,2017-03-29,@,ORL,W,114,106,43,102,.422,10,33,.303,18,28,.643,11,57,18,11,7,11,20
75,75,2017-03-31,,SAS,L,95,100,33,81,.407,6,21,.286,23,27,.852,13,46,21,7,3,18,21
76,76,2017-04-02,,CHO,L,101,113,39,84,.464,12,31,.387,11,12,.917,7,42,19,10,5,24,20
77,77,2017-04-04,,MIL,W,110,79,40,84,.476,9,28,.321,21,25,.840,11,53,29,9,7,13,20
