"","Team","G","Date","X3","Opponent","X5","X6","Tm","Opp","W","L","Streak","Notes"
"1","Boston Celtics",1,"Wed Oct 26 2016",NA,"Brooklyn Nets","W",NA,122,117,1,0,"W 1",NA
"2","Boston Celtics",2,"Thu Oct 27 2016","@","Chicago Bulls","L",NA,99,105,1,1,"L 1",NA
"3","Boston Celtics",3,"Sat Oct 29 2016","@","Charlotte Hornets","W",NA,104,98,2,1,"W 1",NA
"4","Boston Celtics",4,"Wed Nov 2 2016",NA,"Chicago Bulls","W",NA,107,100,3,1,"W 2",NA
"5","Boston Celtics",5,"Thu Nov 3 2016","@","Cleveland Cavaliers","L",NA,122,128,3,2,"L 1",NA
"6","Boston Celtics",6,"Sun Nov 6 2016",NA,"Denver Nuggets","L",NA,107,123,3,3,"L 2",NA
"7","Boston Celtics",7,"Wed Nov 9 2016","@","Washington Wizards","L",NA,93,118,3,4,"L 3",NA
"8","Boston Celtics",8,"Fri Nov 11 2016",NA,"New York Knicks","W",NA,115,87,4,4,"W 1",NA
"9","Boston Celtics",9,"Sat Nov 12 2016","@","Indiana Pacers","W",NA,105,99,5,4,"W 2",NA
"10","Boston Celtics",10,"Mon Nov 14 2016","@","New Orleans Pelicans","L",NA,105,106,5,5,"L 1",NA
"11","Boston Celtics",11,"Wed Nov 16 2016",NA,"Dallas Mavericks","W",NA,90,83,6,5,"W 1",NA
"12","Boston Celtics",12,"Fri Nov 18 2016",NA,"Golden State Warriors","L",NA,88,104,6,6,"L 1",NA
"13","Boston Celtics",13,"Sat Nov 19 2016","@","Detroit Pistons","W",NA,94,92,7,6,"W 1",NA
"14","Boston Celtics",14,"Mon Nov 21 2016","@","Minnesota Timberwolves","W",NA,99,93,8,6,"W 2",NA
"15","Boston Celtics",15,"Wed Nov 23 2016","@","Brooklyn Nets","W",NA,111,92,9,6,"W 3",NA
"16","Boston Celtics",16,"Fri Nov 25 2016",NA,"San Antonio Spurs","L",NA,103,109,9,7,"L 1",NA
"17","Boston Celtics",17,"Mon Nov 28 2016","@","Miami Heat","W",NA,112,104,10,7,"W 1",NA
"18","Boston Celtics",18,"Wed Nov 30 2016",NA,"Detroit Pistons","L",NA,114,121,10,8,"L 1",NA
"19","Boston Celtics",19,"Fri Dec 2 2016",NA,"Sacramento Kings","W",NA,97,92,11,8,"W 1",NA
"20","Boston Celtics",20,"Sat Dec 3 2016","@","Philadelphia 76ers","W",NA,107,106,12,8,"W 2",NA
"21","Boston Celtics",21,"Mon Dec 5 2016","@","Houston Rockets","L",NA,106,107,12,9,"L 1",NA
