G,Date,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 26 2016,,Sacramento Kings,L,,94,113,0,1,L 1,
2,Fri Oct 28 2016,@,Oklahoma City Thunder,L,OT,110,113,0,2,L 2,
3,Sun Oct 30 2016,,Golden State Warriors,L,,100,106,0,3,L 3,
4,Mon Oct 31 2016,@,Los Angeles Clippers,L,,98,116,0,4,L 4,
5,Wed Nov 2 2016,,Portland Trail Blazers,W,OT,118,115,1,4,W 1,
6,Fri Nov 4 2016,@,New Orleans Pelicans,W,OT,112,111,2,4,W 2,
7,Sun Nov 6 2016,@,Los Angeles Lakers,L,,108,119,2,5,L 1,
8,Tue Nov 8 2016,@,Portland Trail Blazers,L,,121,124,2,6,L 2,
9,Wed Nov 9 2016,,Detroit Pistons,W,,107,100,3,6,W 1,
10,Sat Nov 12 2016,,Brooklyn Nets,L,,104,122,3,7,L 1,
11,Sun Nov 13 2016,@,Golden State Warriors,L,,120,133,3,8,L 2,
12,Wed Nov 16 2016,@,Denver Nuggets,L,,104,120,3,9,L 3,
13,Fri Nov 18 2016,@,Indiana Pacers,W,,116,96,4,9,W 1,
14,Sat Nov 19 2016,@,Philadelphia 76ers,L,,105,120,4,10,L 1,
15,Mon Nov 21 2016,@,Washington Wizards,L,,101,106,4,11,L 2,
16,Wed Nov 23 2016,@,Orlando Magic,W,,92,87,5,11,W 1,
17,Fri Nov 25 2016,,Minnesota Timberwolves,L,,85,98,5,12,L 1,
18,Sun Nov 27 2016,,Denver Nuggets,L,,114,120,5,13,L 2,
19,Wed Nov 30 2016,,Atlanta Hawks,W,,109,107,6,13,W 1,
20,Sat Dec 3 2016,@,Golden State Warriors,L,,109,138,6,14,L 1,
21,Tue Dec 6 2016,@,Utah Jazz,L,,105,112,6,15,L 2,
22,Wed Dec 7 2016,,Indiana Pacers,L,,94,109,6,16,L 3,
23,Fri Dec 9 2016,@,Los Angeles Lakers,W,,119,115,7,16,W 1,
24,Sun Dec 11 2016,,New Orleans Pelicans,L,OT,119,120,7,17,L 1,
25,Tue Dec 13 2016,,New York Knicks,W,OT,113,111,8,17,W 1,
26,Thu Dec 15 2016,,San Antonio Spurs,L,,92,107,8,18,L 1,
27,Sat Dec 17 2016,@,Oklahoma City Thunder,L,,101,114,8,19,L 2,
