"","Rk","Team","Overall","Home","Road","E","W"
"1",1,"Golden State Warriors","67-15","36-5","31-10","25-5","42-10"
"2",2,"San Antonio Spurs","61-21","31-10","30-11","25-5","36-16"
"3",3,"Houston Rockets","55-27","30-11","25-16","19-11","36-16"
"4",4,"Boston Celtics","53-29","30-11","23-18","36-16","17-13"
"5",5,"Cleveland Cavaliers","51-31","31-10","20-21","35-17","16-14"
"6",6,"Los Angeles Clippers","51-31","29-12","22-19","20-10","31-21"
"7",7,"Toronto Raptors","51-31","28-13","23-18","34-18","17-13"
"8",8,"Utah Jazz","51-31","29-12","22-19","20-10","31-21"
"9",9,"Washington Wizards","49-33","30-11","19-22","32-20","17-13"
"10",10,"Oklahoma City Thunder","47-35","28-13","19-22","18-12","29-23"
"11",11,"Atlanta Hawks","43-39","23-18","20-21","30-22","13-17"
"12",12,"Memphis Grizzlies","43-39","24-17","19-22","15-15","28-24"
"13",13,"Indiana Pacers","42-40","29-12","13-28","26-26","16-14"
"14",14,"Milwaukee Bucks","42-40","23-18","19-22","27-25","15-15"
"15",15,"Chicago Bulls","41-41","25-16","16-25","28-24","13-17"
"16",16,"Portland Trail Blazers","41-41","25-16","16-25","13-17","28-24"
"17",17,"Miami Heat","41-41","23-18","18-23","27-25","14-16"
"18",18,"Denver Nuggets","40-42","22-19","18-23","16-14","24-28"
"19",19,"Detroit Pistons","37-45","24-17","13-28","21-31","16-14"
"20",20,"Charlotte Hornets","36-46","22-19","14-27","22-30","14-16"
"21",21,"New Orleans Pelicans","34-48","21-20","13-28","14-16","20-32"
"22",22,"Dallas Mavericks","33-49","21-20","12-29","14-16","19-33"
"23",23,"Sacramento Kings","32-50","17-24","15-26","11-19","21-31"
"24",24,"Minnesota Timberwolves","31-51","20-21","11-30","13-17","18-34"
"25",25,"New York Knicks","31-51","19-22","12-29","22-30","9-21"
"26",26,"Orlando Magic","29-53","16-25","13-28","20-32","9-21"
"27",27,"Philadelphia 76ers","28-54","17-24","11-30","19-33","9-21"
"28",28,"Los Angeles Lakers","26-56","17-24","9-32","10-20","16-36"
"29",29,"Phoenix Suns","24-58","15-26","9-32","13-17","11-41"
"30",30,"Brooklyn Nets","20-62","13-28","7-34","11-41","9-21"
