"","Team","Home Wins","Home Losses","Home Win Rate","Away Wins","Away Losses","Away Win Rate"
"1","Atlanta Hawks",23,18,0.560975609756098,20,21,0.48780487804878
"2","Boston Celtics",30,11,0.731707317073171,23,18,0.560975609756098
"3","Brooklyn Nets",13,28,0.317073170731707,7,34,0.170731707317073
"4","Charlotte Hornets",22,19,0.536585365853659,14,27,0.341463414634146
"5","Chicago Bulls",25,16,0.609756097560976,16,25,0.390243902439024
"6","Cleveland Cavaliers",31,10,0.75609756097561,20,21,0.48780487804878
"7","Detroit Pistons",24,17,0.585365853658537,13,28,0.317073170731707
"8","Indiana Pacers",29,12,0.707317073170732,13,28,0.317073170731707
"9","Miami Heat",23,18,0.560975609756098,18,23,0.439024390243902
"10","Milwaukee Bucks",23,18,0.560975609756098,19,22,0.463414634146341
"11","New York Knicks",19,22,0.463414634146341,12,29,0.292682926829268
"12","Orlando Magic",16,25,0.390243902439024,13,28,0.317073170731707
"13","Philadelphia 76ers",17,24,0.414634146341463,11,30,0.268292682926829
"14","Toronto Raptors",28,13,0.682926829268293,23,18,0.560975609756098
"15","Washington Wizards",30,11,0.731707317073171,19,22,0.463414634146341
