"","X1","Team","G","Date","X3","Opponent","X5","X6","Tm","Opp","W","L","Streak","Dates","Binary"
"1",1,"Boston Celtics",1,"Wed Oct 26 2016","vs","Brooklyn Nets","W",NA,122,117,1,0,"W 1",2016-10-25,1
"2",2,"Boston Celtics",2,"Thu Oct 27 2016","@","Chicago Bulls","L",NA,99,105,1,1,"L 1",2016-10-28,0
"3",3,"Boston Celtics",3,"Sat Oct 29 2016","@","Charlotte Hornets","W",NA,104,98,2,1,"W 1",2016-10-30,1
"4",4,"Boston Celtics",4,"Wed Nov 2 2016","vs","Chicago Bulls","W",NA,107,100,3,1,"W 2",2016-11-01,1
"5",5,"Boston Celtics",5,"Thu Nov 3 2016","@","Cleveland Cavaliers","L",NA,122,128,3,2,"L 1",2016-11-03,0
"6",6,"Boston Celtics",6,"Sun Nov 6 2016","vs","Denver Nuggets","L",NA,107,123,3,3,"L 2",2016-11-04,0
"7",7,"Boston Celtics",7,"Wed Nov 9 2016","@","Washington Wizards","L",NA,93,118,3,4,"L 3",2016-11-07,0
"8",8,"Boston Celtics",8,"Fri Nov 11 2016","vs","New York Knicks","W",NA,115,87,4,4,"W 1",2016-11-09,1
"9",9,"Boston Celtics",9,"Sat Nov 12 2016","@","Indiana Pacers","W",NA,105,99,5,4,"W 2",2016-11-10,1
"10",10,"Boston Celtics",10,"Mon Nov 14 2016","@","New Orleans Pelicans","L",NA,105,106,5,5,"L 1",2016-11-13,0
"11",11,"Boston Celtics",11,"Wed Nov 16 2016","vs","Dallas Mavericks","W",NA,90,83,6,5,"W 1",2016-11-16,1
"12",12,"Boston Celtics",12,"Fri Nov 18 2016","vs","Golden State Warriors","L",NA,88,104,6,6,"L 1",2016-11-18,0
"13",13,"Boston Celtics",13,"Sat Nov 19 2016","@","Detroit Pistons","W",NA,94,92,7,6,"W 1",2016-11-19,1
"14",14,"Boston Celtics",14,"Mon Nov 21 2016","@","Minnesota Timberwolves","W",NA,99,93,8,6,"W 2",2016-11-21,1
"15",15,"Boston Celtics",15,"Wed Nov 23 2016","@","Brooklyn Nets","W",NA,111,92,9,6,"W 3",2016-11-23,1
