"","Team","Total","WinRate"
"1","Atlanta Hawks",41,0.48780487804878
"2","Boston Celtics",41,0.560975609756098
"3","Brooklyn Nets",41,0.170731707317073
"4","Charlotte Hornets",41,0.341463414634146
"5","Chicago Bulls",41,0.390243902439024
"6","Cleveland Cavaliers",41,0.48780487804878
"7","Detroit Pistons",41,0.317073170731707
"8","Indiana Pacers",41,0.317073170731707
"9","Miami Heat",41,0.439024390243902
"10","Milwaukee Bucks",41,0.463414634146341
"11","New York Knicks",41,0.292682926829268
"12","Orlando Magic",41,0.317073170731707
"13","Philadelphia 76ers",41,0.268292682926829
"14","Toronto Raptors",41,0.560975609756098
"15","Washington Wizards",41,0.463414634146341
