"","Team","total","WinRate"
"1","Dallas Mavericks",41,0.292682926829268
"2","Denver Nuggets",41,0.439024390243902
"3","Golden State Warriors",41,0.75609756097561
"4","Houston Rockets",41,0.609756097560976
"5","Los Angeles Clippers",41,0.536585365853659
"6","Los Angeles Lakers",41,0.219512195121951
"7","Memphis Grizzlies",41,0.463414634146341
"8","Minnesota Timberwolves",41,0.268292682926829
"9","New Orleans Pelicans",41,0.317073170731707
"10","Oklahoma City Thunder",41,0.463414634146341
"11","Phoenix Suns",41,0.219512195121951
"12","Portland Trail Blazers",41,0.390243902439024
"13","Sacramento Kings",41,0.365853658536585
"14","San Antonio Spurs",41,0.731707317073171
"15","Utah Jazz",41,0.536585365853659
