"","X1","Team","G","Date","X3","Opponent","X5","X6","Tm","Opp","W","L","Streak","Dates","Binary"
"1",1,"Golden State Warriors",1,"Tue Oct 25 2016","vs","San Antonio Spurs","L",NA,100,129,0,1,"L 1",2016-10-25,0
"2",5,"Golden State Warriors",5,"Thu Nov 3 2016","vs","Oklahoma City Thunder","W",NA,122,96,4,1,"W 4",2016-11-03,1
"3",7,"Golden State Warriors",7,"Mon Nov 7 2016","vs","New Orleans Pelicans","W",NA,116,106,5,2,"W 1",2016-11-07,1
"4",8,"Golden State Warriors",8,"Wed Nov 9 2016","vs","Dallas Mavericks","W",NA,116,95,6,2,"W 2",2016-11-09,1
"5",10,"Golden State Warriors",10,"Sun Nov 13 2016","vs","Phoenix Suns","W",NA,133,120,8,2,"W 4",2016-11-13,1
"6",15,"Golden State Warriors",15,"Wed Nov 23 2016","vs","Los Angeles Lakers","W",NA,149,106,13,2,"W 9",2016-11-23,1
"7",17,"Golden State Warriors",17,"Sat Nov 26 2016","vs","Minnesota Timberwolves","W",NA,115,102,15,2,"W 11",2016-11-26,1
"8",18,"Golden State Warriors",18,"Mon Nov 28 2016","vs","Atlanta Hawks","W",NA,105,100,16,2,"W 12",2016-11-28,1
"9",19,"Golden State Warriors",19,"Thu Dec 1 2016","vs","Houston Rockets","L","2OT",127,132,16,3,"L 1",2016-12-01,0
"10",20,"Golden State Warriors",20,"Sat Dec 3 2016","vs","Phoenix Suns","W",NA,138,109,17,3,"W 1",2016-12-03,1
"11",21,"Golden State Warriors",21,"Mon Dec 5 2016","vs","Indiana Pacers","W",NA,142,106,18,3,"W 2",2016-12-05,1
"12",27,"Golden State Warriors",27,"Thu Dec 15 2016","vs","New York Knicks","W",NA,103,90,23,4,"W 3",2016-12-15,1
"13",28,"Golden State Warriors",28,"Sat Dec 17 2016","vs","Portland Trail Blazers","W",NA,135,90,24,4,"W 4",2016-12-17,1
"14",29,"Golden State Warriors",29,"Tue Dec 20 2016","vs","Utah Jazz","W",NA,104,74,25,4,"W 5",2016-12-20,1
"15",33,"Golden State Warriors",33,"Wed Dec 28 2016","vs","Toronto Raptors","W",NA,121,111,28,5,"W 1",2016-12-28,1
"16",34,"Golden State Warriors",34,"Fri Dec 30 2016","vs","Dallas Mavericks","W",NA,108,99,29,5,"W 2",2016-12-30,1
"17",35,"Golden State Warriors",35,"Mon Jan 2 2017","vs","Denver Nuggets","W",NA,127,119,30,5,"W 3",2017-01-02,1
"18",36,"Golden State Warriors",36,"Wed Jan 4 2017","vs","Portland Trail Blazers","W",NA,125,117,31,5,"W 4",2017-01-04,1
"19",37,"Golden State Warriors",37,"Fri Jan 6 2017","vs","Memphis Grizzlies","L","OT",119,128,31,6,"L 1",2017-01-06,0
"20",39,"Golden State Warriors",39,"Tue Jan 10 2017","vs","Miami Heat","W",NA,107,95,33,6,"W 2",2017-01-10,1
"21",40,"Golden State Warriors",40,"Thu Jan 12 2017","vs","Detroit Pistons","W",NA,127,107,34,6,"W 3",2017-01-12,1
"22",41,"Golden State Warriors",41,"Mon Jan 16 2017","vs","Cleveland Cavaliers","W",NA,126,91,35,6,"W 4",2017-01-16,1
"23",42,"Golden State Warriors",42,"Wed Jan 18 2017","vs","Oklahoma City Thunder","W",NA,121,100,36,6,"W 5",2017-01-18,1
"24",47,"Golden State Warriors",47,"Sat Jan 28 2017","vs","Los Angeles Clippers","W",NA,144,98,40,7,"W 2",2017-01-28,1
