,Player,G,Date,Tm,Location,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,LeBron,1,25/10/2016,CLE,NA,NYK,W (+29),1,32,9,14,0.643,0,3,0,1,2,0.5,3,8,11,14,0,1,4,3,19,22.2,26
2,LeBron,2,28/10/2016,CLE,@,TOR,W (+3),1,38,7,16,0.438,2,6,0.333,5,7,0.714,2,6,8,7,0,0,5,2,21,14.1,0
3,LeBron,3,29/10/2016,CLE,NA,ORL,W (+6),1,39,7,16,0.438,2,6,0.333,7,11,0.636,1,5,6,9,1,1,2,2,23,20.4,1
4,LeBron,4,01/11/2016,CLE,NA,HOU,W (+8),1,35,6,12,0.5,1,3,0.333,6,10,0.6,3,10,13,8,0,0,4,4,19,16.5,15
5,LeBron,5,03/11/2016,CLE,NA,BOS,W (+6),1,36,12,22,0.545,1,4,0.25,5,5,1,1,6,7,12,1,0,2,2,30,28.5,17
6,LeBron,6,05/11/2016,CLE,@,PHI,W (+1),1,35,9,23,0.391,1,5,0.2,6,7,0.857,1,7,8,14,2,1,5,1,25,22,11
7,LeBron,7,08/11/2016,CLE,NA,ATL,L (-4),1,36,8,17,0.471,2,5,0.4,5,5,1,2,7,9,5,3,0,1,3,23,22.1,7
8,LeBron,8,11/11/2016,CLE,@,WAS,W (+11),1,38,9,18,0.5,3,4,0.75,6,9,0.667,0,10,10,5,2,2,6,1,27,20.3,7
9,LeBron,9,13/11/2016,CLE,NA,CHO,W (+7),1,38,8,21,0.381,2,5,0.4,1,2,0.5,0,8,8,8,1,1,3,0,19,13.8,12
10,LeBron,10,15/11/2016,CLE,NA,TOR,W (+4),1,38,10,15,0.667,2,5,0.4,6,10,0.6,0,9,9,15,1,0,5,2,28,28.3,1
11,LeBron,11,18/11/2016,CLE,NA,DET,W (+23),1,28,9,14,0.643,1,3,0.333,2,3,0.667,0,3,3,3,0,1,2,1,21,15.7,21
12,LeBron,12,23/11/2016,CLE,NA,POR,W (+12),1,37,11,21,0.524,2,3,0.667,7,8,0.875,1,9,10,13,3,0,3,0,31,32.8,17
13,LeBron,13,25/11/2016,CLE,NA,DAL,W (+38),1,29,6,13,0.462,2,5,0.4,5,5,1,0,5,5,11,1,0,4,1,19,18.1,33
14,LeBron,14,27/11/2016,CLE,@,PHI,W (+4),1,41,9,19,0.474,1,4,0.25,7,9,0.778,2,8,10,13,1,0,5,0,26,24.4,2
15,LeBron,15,29/11/2016,CLE,@,MIL,L (-17),1,32,8,16,0.5,3,8,0.375,3,7,0.429,0,4,4,4,0,0,7,3,22,8.2,-12
16,LeBron,16,01/12/2016,CLE,NA,LAC,L (-19),1,33,5,14,0.357,0,2,0,6,11,0.545,1,4,5,5,2,0,5,2,16,7.8,-20
17,LeBron,17,02/12/2016,CLE,@,CHI,L (-6),1,44,13,22,0.591,1,3,0.333,0,0,NA,0,5,5,13,0,0,8,2,27,18.6,-3
18,LeBron,18,05/12/2016,CLE,@,TOR,W (+4),1,42,12,26,0.462,2,7,0.286,8,9,0.889,3,5,8,7,2,0,1,2,34,28.9,9
